assisted_living_facility,assisted_living_facility_label,city,County,latitude,longitude,beds,no_substantiated_complaints,sanctions_final_orders,fines,total_deficiencies,class_1,class_2,class_3,class_4,unclassified
Gonzalez Adult Care Facilities Llc,Gonzalez Adult Care Facilities,Lake Park,Palm Beach,26.7952,-80.0574,6,0,0,0,0,0,0,0,0,0
The Club At Boynton Beach,The Club At Boynton Beach,Boynton Beach,Palm Beach,26.5221,-80.0586,95,0,0,0,0,0,0,0,0,0
Tropical Garden Villas (North),Tropical Garden Villas (North),Lake Park,Palm Beach,26.61,-80.0603,16,0,0,0,0,0,0,0,0,0
Tropical Garden Villas,Tropical Garden Villas,Lake Worth,Palm Beach,26.61,-80.0603,12,1,0,0,8,0,0,5,2,1
Tropical Garden Villas,Tropical Garden Villas,Lake Worth,Palm Beach,26.61,-80.0603,12,0,0,0,7,0,0,5,1,1
Kimberly Kares Helping Hands,Kimberly Kares Helping Hands,West Palm Beach,Palm Beach,26.6854,-80.0657,7,0,0,0,1,0,0,0,0,1
Hibiscus Palace,Hibiscus Palace,Lake Worth,Palm Beach,26.6328,-80.0669,6,0,0,0,6,0,0,6,0,0
Finnish-American Village,Finnish-American Village,Lake Worth,Palm Beach,26.5907,-80.0715,120,0,0,0,4,0,0,3,1,0
Mangrove Bay,Mangrove Bay,Jupiter,Palm Beach,26.9249,-80.0773,75,0,4,0,15,0,0,11,4,0
Amazing Grace Assisted Living Home Iii Llc,Amazing Grace Assisted Living Home Iii,Lake Clarke Shores,Palm Beach,26.6551,-80.0797,6,0,0,0,0,0,0,0,0,0
"Amazing Grace Assisted Living Home Ii, Llc",Amazing Grace Assisted Living Home Ii,West Palm Beach,Palm Beach,26.6551,-80.0797,6,0,0,0,0,0,0,0,0,0
Amazing Grace Assisted Living Home Llc,Amazing Grace Assisted Living Home,West Palm Beach,Palm Beach,26.6551,-80.0797,6,0,0,0,1,0,0,1,0,0
Nuestra Casa Ii Inc,Nuestra Casa Ii,Lake Worth,Palm Beach,26.6222,-80.0824,6,0,0,0,0,0,0,0,0,0
Everlasting Family Home Care Services Llc,Everlasting Family Home Care Services,West Palm Beach,Palm Beach,26.6675,-80.0835,6,0,0,0,22,0,0,17,3,2
Inn At La Posada,Inn At La Posada,Palm Beach Gardens,Palm Beach,26.8522,-80.0855,48,1,0,0,5,0,0,4,1,0
Karing Hearts Llc,Karing Hearts,West Palm Beach,Palm Beach,26.6452,-80.0884,6,0,1,0,3,0,0,3,0,0
Golden Retreat-2 Assisted Living Facility Llc,Golden Retreat-2 Assisted Living Facility,Boynton Beach,Palm Beach,26.5759,-80.0886,5,0,0,0,2,0,0,1,1,0
Loving Care Senior Services,Loving Care Senior Services,Riviera Beach,Palm Beach,26.8336,-80.0893,5,0,0,0,0,0,0,0,0,0
Sonata Boynton Beach,Sonata Boynton Beach,Boynton Beach,Palm Beach,26.5064,-80.0894,111,2,0,0,3,0,1,2,0,0
Oasis Raquel Alf Ii Inc,Oasis Raquel ALF Ii,Lake Worth,Palm Beach,26.6404,-80.09,6,0,0,0,0,0,0,0,0,0
Oasis Raquel Alf Inc,Oasis Raquel ALF,Palm Springs,Palm Beach,26.6404,-80.09,6,0,0,0,6,0,0,6,0,0
Cherry Oak Palm Beach County,Cherry Oak Palm Beach County,,Palm Beach,26.5868,-80.0901,84,12,0,0,30,0,0,25,5,0
Barrington Terrace At Boynton Beach,Barrington Terrace At Boynton Beach,Boynton Beach,Palm Beach,26.5146,-80.091,125,5,1,0,12,0,0,10,2,0
Courtyard Gardens Senior Living,Courtyard Gardens Senior Living,Boynton Beach,Palm Beach,26.4979,-80.0911,116,3,0,0,5,0,0,4,1,0
El Pinar Assisted Living Facility Inc,El Pinar Assisted Living Facility,West Palm Beach,Palm Beach,26.6612,-80.0917,14,0,0,0,2,0,0,1,1,0
Five Star Premier Residences Of Pompano Beach,Five Star Premier Residences Of Pompano Beach,Pompano Beach,Broward,26.2187,-80.0923,68,1,0,0,2,0,0,2,0,0
Trinity Care Inc,Trinity Care,West Palm Beach,Palm Beach,26.6575,-80.0926,6,0,0,0,2,0,0,1,1,0
Abbey Delray Assisted Living And Memory Care,Abbey Delray Assisted Living And Memory Care,Delray Beach,Palm Beach,26.4454,-80.0939,82,1,0,0,3,0,0,2,1,0
Afh Senior Care Pompano Beach,Afh Senior Care Pompano Beach,Pompano Beach,Broward,26.2828,-80.0972,10,0,1,0,5,0,0,3,1,1
Jackie'S Unique Care Residential Assisted Living,Jackie'S Unique Care Residential Assisted Living,West Palm Beach,Palm Beach,26.6546,-80.0982,5,1,0,0,2,0,0,2,0,0
Home Suite Home 3,Home Suite Home 3,Jupiter,Palm Beach,26.813,-80.0987,6,0,0,0,3,0,0,3,0,0
Home Suite Home 4,Home Suite Home 4,Jupiter,Palm Beach,26.813,-80.0987,6,0,0,0,0,0,0,0,0,0
Home Suite Home 2,Home Suite Home 2,Palm Beach Gardens,Palm Beach,26.813,-80.0987,6,0,0,0,6,0,0,5,1,0
Palm'S Edge Assisted Living And Memory Care,Palm'S Edge Assisted Living And Memory Care,Palm Beach Gardens,Palm Beach,26.7934,-80.1023,65,3,2,0,22,0,0,20,2,0
Avery Cottage Alf Llc,Avery Cottage ALF,West Palm Beach,Palm Beach,26.661,-80.1055,5,0,0,0,9,0,0,5,2,2
Luxe Senior Living At Jupiter,Luxe Senior Living At Jupiter,Jupiter,Palm Beach,26.8869,-80.1088,96,0,0,0,0,0,0,0,0,0
"Belmont Village Ft Lauderdale, Llc",Belmont Village Ft Lauderdale,Fort Lauderdale,Broward,26.139,-80.1112,244,1,1,0,2,0,0,2,0,0
Havencrest Alf Of Palm Beach,Havencrest ALF Of Palm Beach,Boca Raton,Palm Beach,26.358,-80.1125,6,0,0,0,0,0,0,0,0,0
Addington Place Jupiter,Addington Place Jupiter,Jupiter,Palm Beach,26.9088,-80.1132,80,1,0,0,9,0,0,8,1,0
Golden Swan By The Lake Alf,Golden Swan By The Lake ALF,Boca Raton,Palm Beach,26.4194,-80.1142,6,0,0,0,2,0,0,2,0,0
Morselife Memory Care Residence,Morselife Memory Care Residence,West Palm Beach,Palm Beach,26.7462,-80.1159,218,1,0,0,6,0,0,5,1,0
"The Garden Of Health, Inc",The Garden Of Health,Fort Lauderdale,Broward,26.1963,-80.1208,7,0,0,0,6,0,0,6,0,0
A1 Senior Living,A1 Senior Living,Deerfield Beach,Broward,26.2824,-80.1213,6,0,1,0,0,0,0,0,0,0
Royal Palm Senior Residence,Royal Palm Senior Residence,Fort Lauderdale,Broward,26.1903,-80.1213,34,0,0,0,0,0,0,0,0,0
Cresthaven,Cresthaven,West Palm Beach,Palm Beach,26.6363,-80.1224,308,10,2,0,3,0,0,3,0,0
Williamsburg Landing,Williamsburg Landing,Wilton Manors,Broward,26.1594,-80.1234,100,1,0,0,2,0,0,2,0,0
Leisure Living Of Victoria Park,Leisure Living Of Victoria Park,Fort Lauderdale,Broward,26.1283,-80.1252,16,0,0,0,11,0,0,9,2,0
Casa De Campo Alf Llc,Casa De Campo ALF,,Miami-Dade,25.8114,-80.1255,6,0,0,0,0,0,0,0,0,0
Ranmar Gardens Ii Inc,Ranmar Gardens Ii,Coral Springs,Broward,26.1961,-80.1287,6,0,1,0,6,0,0,2,3,1
Casa Amor 2 Alf Llc,Casa Amor 2 ALF,,Miami-Dade,25.7838,-80.1303,6,0,0,0,0,0,0,0,0,0
Majestic Memory Care By Rsr,Majestic Memory Care By Rsr,Hollywood,Broward,26.0223,-80.1318,115,4,3,0,7,0,0,7,0,0
Tuscan Gardens Of Delray Beach,Tuscan Gardens Of Delray Beach,Delray Beach,Palm Beach,26.4645,-80.1319,175,1,0,0,1,0,0,0,0,1
Golden Sands Retirement Home,Golden Sands Retirement Home,Ft Lauderdale,Broward,26.1226,-80.1356,14,0,1,0,3,0,0,1,2,0
Inspired Living Delray Beach,Inspired Living Delray Beach,Delray Beach,Palm Beach,26.4677,-80.1363,145,2,0,0,2,0,1,1,0,0
The Heritage At Delray,The Heritage At Delray,Delray Beach,Palm Beach,26.4605,-80.1376,167,1,0,0,6,0,0,4,2,0
Vi At Aventura,Vi At Aventura,Aventura,Miami-Dade,25.9546,-80.1379,26,0,1,0,3,0,0,3,0,0
Five Star Premier Residences Of Boca Raton,Five Star Premier Residences Of Boca Raton,Boca Raton,Palm Beach,26.3413,-80.1387,75,2,0,0,1,0,0,1,0,0
"Living By Faith, Inc",Living By Faith,Hallandale Beach,Broward,25.9962,-80.1395,6,0,0,0,4,0,0,4,0,0
Rego'S Alf Inc,Rego'S ALF,Miami,Miami-Dade,25.8132,-80.14,6,0,0,0,1,0,0,1,0,0
Elia'S Home Care #3 Inc,Elia'S Home Care #3,Miami,Miami-Dade,25.788,-80.1407,6,0,0,0,0,0,0,0,0,0
Feba Living Care Inc,Feba Living Care,Miami,Miami-Dade,25.788,-80.1407,6,0,0,0,23,0,0,21,2,0
Humble Care Inc,Humble Care,Miami,Miami-Dade,25.788,-80.1407,6,0,1,0,2,0,0,2,0,0
Isa Adult Home Care Inc,Isa Adult Home Care,Miami,Miami-Dade,25.788,-80.1407,6,0,0,0,2,0,0,2,0,0
Mia'S Adult Care Alf Llc,Mia'S Adult Care ALF,Miami,Miami-Dade,25.788,-80.1407,6,0,0,0,1,0,0,0,1,0
Nunez Adult Care Inc,Nunez Adult Care,Miami,Miami-Dade,25.788,-80.1407,6,0,0,0,0,0,0,0,0,0
Oakbridge Terrace Al Residence At St Andrews Estates,Oakbridge Terrace Al Residence At St Andrews Estates,Boca Raton,Palm Beach,26.3617,-80.1408,72,0,0,0,10,0,0,6,3,1
Hollywood Beach Retirement Home,Hollywood Beach Retirement Home,Hollywood,Broward,26.0068,-80.1418,32,0,0,0,3,0,0,2,1,0
Arden Courts (Delray Beach),Arden Courts (Delray Beach),Delray Beach,Palm Beach,26.4366,-80.1449,56,1,5,0,10,0,0,6,1,3
Sunny Days Assisted Living Facility,Sunny Days Assisted Living Facility,Hollywood,Broward,26.022,-80.1449,41,1,0,0,6,0,0,6,0,0
The Forum At Deer Creek,The Forum At Deer Creek,Deerfield Beach,Broward,26.3213,-80.1451,65,0,1,0,2,0,0,2,0,0
Arbor Oaks At Greenacres,Arbor Oaks At Greenacres,Greenacres,Palm Beach,26.6281,-80.1452,97,1,0,0,9,0,0,7,2,0
Avon Manor,Avon Manor,Fort Lauderdale,Broward,26.0885,-80.1461,6,0,1,0,9,0,0,6,2,1
"Holy Adult Family Care Home, Llc",Holy Adult Family Care Home,West Palm Beach,Palm Beach,26.6664,-80.1481,6,0,0,0,0,0,0,0,0,0
Sunrise Of Boynton Beach,Sunrise Of Boynton Beach,Boynton Beach,Palm Beach,26.5191,-80.1482,104,2,0,0,4,0,0,4,0,0
Paradise Manor Retirement Home,Paradise Manor Retirement Home,Oakland Park,Broward,26.1803,-80.1494,30,0,0,0,3,0,0,3,0,0
Christallis Manor Ii Llc,Christallis Manor Ii,,Broward,26.0273,-80.1506,6,0,0,0,1,0,0,1,0,0
Touch Of Klass A. L. F. Inc,Touch Of Klass A. L. F.,Plantation,Broward,26.1301,-80.1521,6,0,0,0,4,0,0,3,1,0
"Keval Exquisite Care, Llc",Keval Exquisite Care,Deerfield Beach,Broward,26.3175,-80.1536,6,0,1,0,5,0,0,4,0,1
Seaside At Hallandale Beach,Seaside At Hallandale Beach,Hallandale Beach,Broward,25.9781,-80.1541,90,0,1,0,0,0,0,0,0,0
Victorian Meadows Residence,Victorian Meadows Residence,Hollywood,Broward,26.019,-80.1549,8,1,0,0,1,0,0,1,0,0
Willow Bay Senior Resort,Willow Bay Senior Resort,Deerfield Beach,Broward,26.3185,-80.1589,130,0,0,0,1,0,0,0,1,0
The Court At Palm Aire,The Court At Palm Aire,Pompano Beach,Broward,26.2286,-80.1602,90,1,1,0,7,0,0,6,1,0
Horizon Alf,Horizon ALF,Fort Lauderdale,Broward,26.1541,-80.1621,47,1,0,0,13,0,0,10,2,1
"New Chapter Assisted Living Facility I, Llc",New Chapter Assisted Living Facility I,Fort Lauderdale,Broward,26.1381,-80.164,4,0,0,0,0,0,0,0,0,0
Lucy'S Home Care Inc,Lucy'S Home Care,Miami,Miami-Dade,25.8891,-80.1654,6,1,0,0,15,0,0,15,0,0
"A&D Tender Loving Care, Llc",A&D Tender Loving Care,Pompano Beach,Broward,26.237,-80.1661,6,0,0,0,2,0,0,2,0,0
"Venetian Isles Alf, Inc",Venetian Isles ALF,Miami,Miami-Dade,25.7897,-80.172,6,0,0,0,2,0,0,2,0,0
Royal Living At Coconut Creek Inc,Royal Living At Coconut Creek,Coconut Creek,Broward,26.3194,-80.1723,6,1,0,0,2,0,0,2,0,0
Royal Gardens Villa Inc,Royal Gardens Villa,Miami,Miami-Dade,25.8788,-80.1725,12,0,0,0,7,0,0,7,0,0
"Sheridan At Hobe Sound, The",Sheridan At Hobe Sound The,Hobe Sound,Martin,27.1138,-80.1732,144,0,1,0,2,0,0,2,0,0
"K'S Haven, Inc.",K'S Haven.,N Lauderdale,Broward,26.107,-80.1735,5,1,0,0,11,0,0,8,2,1
"All Dunn Assistant Living, Inc.",All Dunn Assistant Living.,Hollywood,Broward,26.0131,-80.1741,6,0,1,0,8,0,0,6,0,2
Good Hope Manor,Good Hope Manor,Oakland Park,Broward,26.1633,-80.1741,100,0,1,0,12,0,0,10,2,0
"Holy Garden Alf, Inc.",Holy Garden ALF.,Hollywood,Broward,26.0361,-80.1803,6,0,0,0,3,0,0,3,0,0
Havencrest Alf Iii,Havencrest ALF Iii,Coconut Creek,Broward,26.2381,-80.1835,9,0,1,0,3,0,0,2,1,0
Havencrest Alf,Havencrest ALF,Coconut Creek,Broward,26.2381,-80.1835,6,0,1,0,0,0,0,0,0,0
"Trailwinds Assisted Living, Llc",Trailwinds Assisted Living,Miami,Miami-Dade,25.7786,-80.1865,6,1,0,0,5,0,0,5,0,0
Sela'S Place Inc,Sela'S Place,Hollywood,Broward,26.0499,-80.1867,6,0,1,0,3,0,0,3,0,0
Victoria Gardens Home Alf,Victoria Gardens Home ALF,Lauderdale Lakes,Broward,26.1795,-80.1868,28,3,2,0,17,0,1,13,1,2
Bay Oaks Historic Retirement Residence Inc,Bay Oaks Historic Retirement Residence,Miami,Miami-Dade,25.809,-80.1877,32,2,0,0,20,0,0,18,2,0
Peace Of His Cornerstone Llc,Peace Of His Cornerstone,Miami,Miami-Dade,25.9222,-80.1877,6,0,1,0,1,0,0,1,0,0
Health Center At Sinai Residences,Health Center At Sinai Residences,Boca Raton,Palm Beach,26.3629,-80.1921,74,0,1,0,4,0,0,3,1,0
Saint Jude Adult Care Corp.,Saint Jude Adult Care Corp.,Miami,Miami-Dade,25.7576,-80.1928,6,0,0,0,7,0,0,7,0,0
"Martin Residences, Inc",Martin Residences,Miami,Miami-Dade,25.7743,-80.1932,6,0,0,0,9,0,0,8,0,1
Janua Coeli Inc,Janua Coeli,Coral Gables,Miami-Dade,25.7661,-80.1937,6,0,0,0,15,0,0,15,0,0
"Camacho Alf, Inc",Camacho ALF,,Miami-Dade,25.7613,-80.1942,6,0,1,0,17,0,1,14,0,2
"Paradise Adult Care,Inc.",Paradise Adult CareInc.,Miami,Miami-Dade,25.7958,-80.1947,6,0,0,0,1,0,0,1,0,0
Paradise Loving Facility Inc,Paradise Loving Facility,Miami,Miami-Dade,25.7958,-80.1947,6,0,0,0,0,0,0,0,0,0
Lili'S Home Care Corp,Lili'S Home Care Corp,Miami,Miami-Dade,25.808,-80.195,6,0,0,0,6,0,0,5,1,0
The Monarch At Coconut Creek Assisted Living And Memory Care,The Monarch At Coconut Creek Assisted Living And Memory Care,Coconut Creek,Broward,26.3129,-80.1992,96,0,0,0,4,0,0,3,0,1
Saint Johns Alf Llc,Saint Johns ALF,Miami,Miami-Dade,25.7873,-80.2,6,1,0,0,8,0,1,7,0,0
"Golden Age Residences, Llc",Golden Age Residences,Plantation,Broward,26.1072,-80.2011,29,1,0,0,13,0,0,10,2,1
"Edem Home Care, Inc.",Edem Home Care.,Miami Gardens,Miami-Dade,25.9431,-80.2025,6,0,0,0,6,0,0,6,0,0
Angelica Home Corp,Angelica Home Corp,Miami,Miami-Dade,25.7808,-80.2037,6,0,0,0,0,0,0,0,0,0
The Landing Of Lake Worth,The Landing Of Lake Worth,Lake Worth,Palm Beach,26.5971,-80.2043,142,5,1,0,9,0,0,7,2,0
Afh Senior Care Coconut Creek,Afh Senior Care Coconut Creek,Coconut Creek,Broward,26.3212,-80.2048,6,0,0,0,0,0,0,0,0,0
Villa Rose Assisted Living Inc,Villa Rose Assisted Living,Miami,Miami-Dade,25.7685,-80.2057,7,0,0,0,9,0,0,9,0,0
Home Loving Care Inc,Home Loving Care,Miami,Miami-Dade,25.7773,-80.2065,6,0,0,0,9,0,0,9,0,0
"Sunset Loving Care Ii, Inc",Sunset Loving Care Ii,Miami,Miami-Dade,25.7773,-80.2065,6,1,0,0,7,0,0,6,0,1
Luxe Senior Living At Wellington,Luxe Senior Living At Wellington,Wellington,Palm Beach,26.64,-80.2081,54,1,0,0,10,0,0,7,3,0
Micasa Senior Living,Micasa Senior Living,Hollywood,Broward,26.0119,-80.2087,44,2,0,0,2,0,0,2,0,0
Vista Alegre,Vista Alegre,Miami,Miami-Dade,25.7671,-80.2089,6,0,0,0,5,0,0,5,0,0
Kozy Kove Assisted Living Facility Inc,Kozy Kove Assisted Living Facility,Plantation,Broward,26.1281,-80.2091,6,0,1,0,4,0,0,3,1,0
Lisbet Health Center At Wellington Bay,Lisbet Health Center At Wellington Bay,Wellington,Palm Beach,26.6424,-80.2092,150,0,0,0,0,0,0,0,0,0
"A Loving Home Enterprises, Inc.",A Loving Home Enterprises.,Miami,Miami-Dade,25.8038,-80.2101,6,0,0,0,7,0,0,7,0,0
Lindsay'S Alternative Care Inc.,Lindsay'S Alternative Care.,Coral Springs,Broward,26.2838,-80.2113,6,4,1,0,5,0,0,4,1,0
Royal Destiny Home Care Llc,Royal Destiny Home Care,Miami Gardens,Miami-Dade,25.9115,-80.2113,5,0,0,0,9,0,0,8,1,0
Sra Caridad Retirement Home Care Ii Inc,Sra Caridad Retirement Home Care Ii,Miami,Miami-Dade,25.7409,-80.2114,6,0,0,0,8,0,0,8,0,0
Sra Caridad Retirement Home Care Inc,Sra Caridad Retirement Home Care,Miami,Miami-Dade,25.7409,-80.2114,6,0,1,0,0,0,0,0,0,0
"Avalon Park Retirement Residence, Inc.",Avalon Park Retirement Residence.,Hollywood,Broward,26.0152,-80.2122,60,0,1,0,0,0,0,0,0,0
Advantage Senior Living Facility Llc,Advantage Senior Living Facility,Fort Lauderdale,Broward,26.1006,-80.2125,6,0,0,0,2,0,0,0,2,0
A Paradise Home Alf Ii Llc,A Paradise Home ALF Ii,West Palm Beach,Palm Beach,26.6712,-80.2129,6,0,0,0,4,0,0,4,0,0
The Capstone At Royal Palm,The Capstone At Royal Palm,Royal Palm Beach,Palm Beach,26.7103,-80.213,114,5,1,0,6,0,0,6,0,0
Amazing Grace Assisted Living Home Iv,Amazing Grace Assisted Living Home Iv,Palm Beach Gardens,Palm Beach,26.8018,-80.2136,6,0,0,0,0,0,0,0,0,0
"Rocios Home Forever, Inc",Rocios Home Forever,Miami,Miami-Dade,25.7658,-80.2137,6,0,0,0,6,0,0,6,0,0
Lazos De Amor Llc,Lazos De Amor,Miami,Miami-Dade,25.7889,-80.2142,6,0,0,0,3,0,0,3,0,0
Vivo Alf Inc,Vivo ALF,Miami,Miami-Dade,25.7508,-80.217,6,0,0,0,1,0,0,1,0,0
Amber Cove Inc,Amber Cove,Royal Palm Beach,Palm Beach,26.7253,-80.2187,6,0,0,0,0,0,0,0,0,0
Marla Grove Alf Inc,Marla Grove ALF,Miami,Miami-Dade,25.7474,-80.219,14,0,0,0,3,0,0,3,0,0
"Rose Marie Alf, Corp",Rose Marie ALF Corp,Miami,Miami-Dade,25.7474,-80.219,6,0,0,0,0,0,0,0,0,0
My Grandfather Home Care,My Grandfather Home Care,Miami,Miami-Dade,25.7799,-80.2196,6,0,0,0,0,0,0,0,0,0
Beeva Place Assisted Living Facility,Beeva Place Assisted Living Facility,Royal Palm Beach,Palm Beach,26.7184,-80.2199,6,0,0,0,3,0,0,2,0,1
Discovery Village At Stuart,Discovery Village At Stuart,Stuart,Martin,27.1298,-80.2199,135,1,0,0,2,0,0,2,0,0
Margate Assisted Living & Adult Care Center,Margate Assisted Living & Adult Care Center,Margate,Broward,26.2365,-80.2201,6,0,0,0,5,0,0,5,0,0
Marbella Alf Llc,Marbella ALF,Miami,Miami-Dade,25.7507,-80.2212,6,0,0,0,2,0,1,1,0,0
Residencia Marbella Alf Corp,Residencia Marbella ALF Corp,Miami,Miami-Dade,25.7507,-80.2212,6,0,0,0,1,0,0,1,0,0
Assisted Living Retirement Homes I,Assisted Living Retirement Homes I,Miami,Miami-Dade,25.7752,-80.2237,14,0,0,0,1,0,0,1,0,0
Assisted Living Retirement Homes Iii,Assisted Living Retirement Homes Iii,Miami,Miami-Dade,25.7752,-80.2237,14,0,0,0,1,0,0,1,0,0
Maria'S Palace Corp,Maria'S Palace Corp,Miami,Miami-Dade,25.7693,-80.2243,14,0,0,0,3,0,0,3,0,0
Viva Alf Llc,Viva ALF,Miami,Miami-Dade,25.7949,-80.2261,6,0,0,0,0,0,0,0,0,0
The Meridian At Boca Raton,The Meridian At Boca Raton,Boca Raton,Palm Beach,26.3511,-80.228,168,5,0,0,16,0,0,12,3,1
"Royal Green Alf, Inc.",Royal Green ALF.,Miami,Miami-Dade,25.7692,-80.2281,14,1,0,0,0,0,0,0,0,0
Mary'S Love & Care Home Inc.,Mary'S Love & Care Home.,Hollywood,Broward,26.0275,-80.2283,6,0,0,0,0,0,0,0,0,0
Ada Retirement Home Inc,Ada Retirement Home,Miami,Miami-Dade,25.7508,-80.2285,6,0,0,0,24,0,0,22,2,0
"New Hope A.L.F., Inc.",New Hope A.L.F..,Miami,Miami-Dade,25.869,-80.2293,14,0,0,0,2,0,0,2,0,0
Villa Serena Vi,Villa Serena Vi,Miami,Miami-Dade,25.7922,-80.2298,12,0,1,0,20,0,0,20,0,0
Ls Holistic Care Assisted Living Llc,Ls Holistic Care Assisted Living,Coral Springs,Broward,26.2846,-80.2308,5,0,0,0,0,0,0,0,0,0
Mi Casita Alf Inc,Mi Casita ALF,Deltona,Volusia,25.7687,-80.2309,6,1,0,0,8,0,0,6,0,2
Mi Casita Alf,Mi Casita ALF,Miami,Miami-Dade,25.7687,-80.2309,6,1,0,0,11,0,1,10,0,0
"Excellent Grandparent Place, Inc",Excellent Grandparent Place,Miami,Miami-Dade,25.784,-80.2311,6,0,0,0,7,0,0,7,0,0
Stevens Grandparents Inc,Stevens Grandparents,Miami,Miami-Dade,25.784,-80.2311,6,0,0,0,8,0,0,7,1,0
Villa Serena Iv,Villa Serena Iv,Miami,Miami-Dade,25.7806,-80.2322,10,0,1,0,11,0,0,11,0,0
A Compassionate Care Assisted Living Residence Llc,A Compassionate Care Assisted Living Residence,Wellington,Palm Beach,26.6714,-80.2323,6,0,0,0,4,0,0,3,1,0
Maria Adult Home Care Iii,Maria Adult Home Care Iii,Miami,Miami-Dade,25.7507,-80.2333,6,0,0,0,23,0,0,23,0,0
Loving Family Senior Care Llc,Loving Family Senior Care,Miami,Miami-Dade,25.8077,-80.2345,14,0,0,0,2,0,0,2,0,0
Hibiscus Palace Iii Assisted Living Facility Llc,Hibiscus Palace Iii Assisted Living Facility,Royal Plm Bch,Palm Beach,26.6829,-80.2346,6,0,0,0,6,0,0,6,0,0
Brookdale Stuart,Brookdale Stuart,Stuart,Martin,27.1645,-80.2348,55,2,0,0,5,0,0,4,1,0
Stuart Lodge,Stuart Lodge,Stuart,Martin,27.187,-80.2358,126,0,1,0,4,0,0,2,1,1
"The Gardens At Parkwood, Inc.",The Gardens At Parkwood.,Coral Springs,Broward,26.2726,-80.2365,6,0,0,0,0,0,0,0,0,0
Lucille'S Loving Care,Lucille'S Loving Care,Miami Gardens,Miami-Dade,25.9371,-80.2375,14,0,0,0,8,0,0,8,0,0
Love & Tenderness Inc,Love & Tenderness,Miami,Miami-Dade,25.7635,-80.2383,6,0,0,0,0,0,0,0,0,0
Inspired Living Royal Palm Beach,Inspired Living Royal Palm Beach,Royal Palm Beach,Palm Beach,26.6818,-80.2383,114,0,0,0,1,0,0,1,0,0
Arnais Assisted Living Inc,Arnais Assisted Living,Miami,Miami-Dade,25.7697,-80.2387,8,0,0,0,0,0,0,0,0,0
Assisted Living Retirement Home Ii,Assisted Living Retirement Home Ii,Miami,Miami-Dade,25.744,-80.2392,14,0,0,0,8,0,0,8,0,0
Villasol Group Inc,Villasol Group,Miami,Miami-Dade,25.7876,-80.2398,6,0,0,0,3,0,0,3,0,0
"Silver Days, Inc",Silver Days,Miami,Miami-Dade,25.7287,-80.2401,6,0,0,0,0,0,0,0,0,0
Silver Moments Llc,Silver Moments,Miami,Miami-Dade,25.7287,-80.2401,6,0,0,0,2,0,0,2,0,0
"Bright Horizons Of Ramblewood, Inc.",Bright Horizons Of Ramblewood.,Coral Springs,Broward,26.2428,-80.2404,6,0,0,0,0,0,0,0,0,0
"Kozie Kottage, Llc",Kozie Kottage,West Palm Beach,Palm Beach,26.7559,-80.2404,6,0,1,0,7,0,0,5,1,1
Jacob'S Tender Loving Care Assisted Living Llc,Jacob'S Tender Loving Care Assisted Living,Plantation,Broward,26.1291,-80.2407,6,0,0,0,3,0,0,2,1,0
"Our Lady Of Charity Aclf, Inc",Our Lady Of Charity Aclf,Miami,Miami-Dade,25.7511,-80.241,14,0,0,0,0,0,0,0,0,0
"Bright Horizons Of Coral Springs, Inc.",Bright Horizons Of Coral Springs.,Coral Springs,Broward,26.2317,-80.2418,6,0,1,0,2,0,0,1,0,1
Twins Seniors Residence Aclf,Twins Seniors Residence Aclf,Miami,Miami-Dade,25.77,-80.2418,14,0,0,0,6,0,1,4,0,1
Pacifica Senior Living Forest Trace,Pacifica Senior Living Forest Trace,Lauderhill,Broward,26.1895,-80.2433,262,3,1,0,8,0,0,7,0,1
Cruz Family Home Llc,Cruz Family Home,Miami,Miami-Dade,25.756,-80.2434,14,0,0,0,0,0,0,0,0,0
A+ Senior Home Inc,A+ Senior Home,Miami,Miami-Dade,25.793,-80.2434,6,0,0,0,7,0,0,7,0,0
Nueva Era Home Health Services,Nueva Era Home Health Services,Miami,Miami-Dade,25.8423,-80.2435,6,0,0,0,13,0,0,13,0,0
Inspiritas Of Stuart,Inspiritas Of Stuart,Stuart,Martin,27.1584,-80.2439,100,4,0,0,9,0,0,5,2,2
"Summerville Homes, Llc",Summerville Homes,Miramar,Broward,25.9825,-80.2452,6,0,0,0,4,0,0,2,1,1
Harborchase Of Tamarac,Harborchase Of Tamarac,Tamarac,Broward,26.2078,-80.2466,116,3,5,0,4,0,0,2,1,1
Alf Kayla'S Place Inc,ALF Kayla'S Place,Miami,Miami-Dade,25.7772,-80.2499,6,0,0,0,4,0,0,4,0,0
"Bma Assisted Living Facility, Corp",Bma Assisted Living Facility Corp,Miami,Miami-Dade,25.7772,-80.2499,6,0,0,0,0,0,0,0,0,0
Silver Times Assisted Living Facility Inc,Silver Times Assisted Living Facility,Miami,Miami-Dade,25.7772,-80.2499,6,0,0,0,3,0,0,3,0,0
"Davi'S Alf, Inc",Davi'S ALF,Miami,Miami-Dade,25.8433,-80.2515,6,0,0,0,12,0,0,12,0,0
The Inn At Aston Gardens,The Inn At Aston Gardens,Parkland,Broward,26.3041,-80.2516,100,1,2,0,2,0,0,2,0,0
A & L Health Care Corp No. 2,A & L Health Care Corp No. 2,Coral Springs,Broward,26.25,-80.2525,6,0,0,0,0,0,0,0,0,0
