nursing_home,nursing_home_label,city,region,county,latitude,longitude,overall_inspection,quality_of_care,quality_of_life,administration,nutrition_and_hydration,restraints_and_abuse,pressure_ulcers,decline,dignity
Krystal Bay Nursing And Rehabilitation,Krystal Bay Nursing And Rehabilitation,North Miami Beach,Region 11,Miami-Dade,25.9290739,-80.1564442,_____,_____,_____,_____,_____,_____,_____,_____,_____
Labelle Health And Rehabilitation Center,Labelle Health And Rehabilitation Center,Labelle,Region 8,Hendry,26.7583312,-81.4341219,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lady Lake Specialty Care Center,Lady Lake Specialty Care Center,Lady Lake,Region 3,Lake,28.9370485,-81.9343191,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lafayette Nursing And Rehabilitation Center,Lafayette Nursing And Rehabilitation Center,Mayo,Region 3,Lafayette,30.0552017,-83.1806257,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lake Bennet Center For Rehabilitation & Healing,Lake Bennet Center For Rehabilitation & Healing,Ocoee,Region 7,Orange,28.5545271,-81.5323533,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lake Mary Health And Rehabilitation Center,Lake Mary Health And Rehabilitation Center,Lake Mary,Region 7,Seminole,28.757696,-81.349976,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lake Park Of Madison Nursing And Rehabilitation Center,Lake Park Of Madison Nursing And Rehabilitation Center,Madison,Region 2,Madison,30.471803,-83.430953,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lake Placid Health And Rehabilitation Center,Lake Placid Health And Rehabilitation Center,Lake Placid,Region 6,Highlands,27.3207082,-81.3716892,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lake Wales Wellness And Rehabilitation Center,Lake Wales Wellness And Rehabilitation Center,Lake Wales,Region 6,Polk,27.913109,-81.5883944,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lakeland Hills Center,Lakeland Hills Center,Lakeland,Region 6,Polk,28.0702331,-81.9518608,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lakes At Lutz Health & Rehabilitation Center,Lakes At Lutz Health & Rehabilitation Center,Lutz,Region 6,Hillsborough,28.1522006,-82.4896517,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Lakes Of Clermont Health And Rehabilitation Center, The",Lakes Of Clermont Health And Rehabilitation Center,Clermont,Region 3,Lake,28.541964,-81.7242326,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lakeside Center For Rehabilitation And Healing,Lakeside Center For Rehabilitation And Healing,Jacksonville,Region 4,Duval,30.4395679,-81.6778039,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lakeside Neurologic,Lakeside Neurologic,Wauchula,Region 6,Hardee,27.548233,-81.920249,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lakeview Terrace Rehabilitation And Health Care Center,Lakeview Terrace Rehabilitation And Health Care Center,Altoona,Region 3,Lake,28.9640015,-81.6565241,_____,_____,_____,_____,_____,_____,_____,_____,_____
Lanier Rehabilitation Center,Lanier Rehabilitation Center,Jacksonville,Region 4,Duval,30.4674832,-81.5889612,_____,_____,_____,_____,_____,_____,_____,_____,_____
Larsen Health Center,Larsen Health Center,Fort Myers,Region 8,Lee,26.4942171,-81.9806141,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Laurellwood Fl Opco, Llc",Laurellwood Fl Opco,Saint Petersburg,Region 5,Pinellas,27.8240775,-82.6758401,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center At Wells Crossing,Life Care Center At Wells Crossing,Orange Park,Region 4,Clay,30.184955,-81.717369,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Citrus County,Life Care Center Of Citrus County,Lecanto,Region 3,Citrus,28.8723322,-82.4898105,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Estero,Life Care Center Of Estero,Estero,Region 8,Lee,26.4210274,-81.813563,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Hilliard,Life Care Center Of Hilliard,Hilliard,Region 4,Nassau,30.693704,-81.9182348,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Jacksonville,Life Care Center Of Jacksonville,Jacksonville,Region 4,Duval,30.2495192,-81.6004952,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Melbourne,Life Care Center Of Melbourne,Melbourne,Region 7,Brevard,28.0892364,-80.6116659,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of New Port Richey,Life Care Center Of New Port Richey,New Port Richey,Region 5,Pasco,28.2251644,-82.6919944,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Ocala,Life Care Center Of Ocala,Ocala,Region 3,Marion,29.1470322,-82.1702914,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Orange Park,Life Care Center Of Orange Park,Orange Park,Region 4,Clay,30.1654258,-81.7409274,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Palm Bay,Life Care Center Of Palm Bay,Palm Bay,Region 7,Brevard,27.9998566,-80.6151254,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Pensacola,Life Care Center Of Pensacola,Pensacola,Region 1,Escambia,30.50847,-87.1983718,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Port St. Lucie,Life Care Center Of Port St. Lucie,Port St Lucie,Region 9,St. Lucie,27.2791028,-80.2900243,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Punta Gorda,Life Care Center Of Punta Gorda,Punta Gorda,Region 8,Charlotte,26.9267225,-82.0559544,_____,_____,_____,_____,_____,_____,_____,_____,_____
Life Care Center Of Winter Haven,Life Care Center Of Winter Haven,Winter Haven,Region 6,Polk,28.0058792,-81.7050295,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Lilac At Bayview, The",Lilac At Bayview,St Augustine,Region 4,St. Johns,29.8817963,-81.3075859,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Lodge At Cypress Cove, The",Lodge At Cypress Cove,Fort Myers,Region 8,Lee,26.5040939,-81.9180365,_____,_____,_____,_____,_____,_____,_____,_____,_____
Longwood Health And Rehabilitation Center,Longwood Health And Rehabilitation Center,Longwood,Region 7,Seminole,28.6863563,-81.3348275,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Lourdes-Noreen Mckeen Residence For Geriatric Care, Inc.","Lourdes-Noreen Mckeen Residence For Geriatric Care, Inc.",West Palm Beach,Region 9,Palm Beach,26.7109097,-80.0510038,_____,_____,_____,_____,_____,_____,_____,_____,_____
Macclenny Nursing And Rehab Center,Macclenny Nursing And Rehab Center,Macclenny,Region 4,Baker,30.2733308,-82.1192937,_____,_____,_____,_____,_____,_____,_____,_____,_____
Madison Health And Rehabilitation Center,Madison Health And Rehabilitation Center,Madison,Region 2,Madison,30.481955,-83.4514893,_____,_____,_____,_____,_____,_____,_____,_____,_____
Madison Pointe Care Center,Madison Pointe Care Center,New Port Richey,Region 5,Pasco,28.252978,-82.714927,_____,_____,_____,_____,_____,_____,_____,_____,_____
Magnolia Health And Rehabilitation Center,Magnolia Health And Rehabilitation Center,Sarasota,Region 8,Sarasota,27.319786,-82.51353,_____,_____,_____,_____,_____,_____,_____,_____,_____
Majestic Oaks,Majestic Oaks,Orange City,Region 4,Volusia,28.940101,-81.2813324,_____,_____,_____,_____,_____,_____,_____,_____,_____
Manatee Springs Rehabilitation And Nursing Center,Manatee Springs Rehabilitation And Nursing Center,Bradenton,Region 6,Manatee,27.441794,-82.554248,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Manor At Blue Water Bay, The",Manor At Blue Water Bay,Niceville,Region 1,Okaloosa,30.4834183,-86.4129405,_____,_____,_____,_____,_____,_____,_____,_____,_____
Margate Health And Rehabilitation Center,Margate Health And Rehabilitation Center,Margate,Region 10,Broward,26.2636959,-80.2048097,_____,_____,_____,_____,_____,_____,_____,_____,_____
Marianna Health And Rehabilitation Center,Marianna Health And Rehabilitation Center,Marianna,Region 2,Jackson,30.7867868,-85.2380234,_____,_____,_____,_____,_____,_____,_____,_____,_____
Marion And Bernard L Samson Nursing Center,Marion And Bernard L Samson Nursing Center,Saint Petersburg,Region 5,Pinellas,27.7738748,-82.7138835,_____,_____,_____,_____,_____,_____,_____,_____,_____
Martin Coast Center For Rehabilitation And Healthcare,Martin Coast Center For Rehabilitation And Healthcare,Hobe Sound,Region 9,Martin,27.0884818,-80.149972,_____,_____,_____,_____,_____,_____,_____,_____,_____
Masonic Home Of Florida,Masonic Home Of Florida,St Petersburg,Region 5,Pinellas,27.8019878,-82.633414,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Meadows Center For Nursing And Healing, The",Meadows Center For Nursing And Healing,Sarasota,Region 8,Sarasota,27.3564915,-82.4665103,_____,_____,_____,_____,_____,_____,_____,_____,_____
Medicana Nursing And Rehab Center,Medicana Nursing And Rehab Center,Lake Worth,Region 9,Palm Beach,26.6175189,-80.0658052,_____,_____,_____,_____,_____,_____,_____,_____,_____
Melbourne Terrace Rehabilitation Center,Melbourne Terrace Rehabilitation Center,Melbourne,Region 7,Brevard,28.056066,-80.618137,_____,_____,_____,_____,_____,_____,_____,_____,_____
Memorial Manor,Memorial Manor,Pembroke Pines,Region 10,Broward,26.0042123,-80.2622916,_____,_____,_____,_____,_____,_____,_____,_____,_____
Menorah House,Menorah House,Boca Raton,Region 9,Palm Beach,26.3585358,-80.1986794,_____,_____,_____,_____,_____,_____,_____,_____,_____
Metro West Nursing And Rehab Center,Metro West Nursing And Rehab Center,Orlando,Region 7,Orange,28.5313523,-81.4627635,_____,_____,_____,_____,_____,_____,_____,_____,_____
Miami Shores Nursing And Rehab Center,Miami Shores Nursing And Rehab Center,Miami,Region 11,Miami-Dade,25.860665,-80.210204,_____,_____,_____,_____,_____,_____,_____,_____,_____
Middleburg Rehabilitation And Nursing Center,Middleburg Rehabilitation And Nursing Center,Middleburg,Region 4,Clay,30.1117839,-81.8133773,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Miracle Hill Nursing And Rehabilitation Center, Inc","Miracle Hill Nursing And Rehabilitation Center, Inc",Tallahassee,Region 2,Leon,30.4573885,-84.2996048,_____,_____,_____,_____,_____,_____,_____,_____,_____
Morton Plant Rehabilitation Center,Morton Plant Rehabilitation Center,Belleair,Region 5,Pinellas,27.950398,-82.8005453,_____,_____,_____,_____,_____,_____,_____,_____,_____
Moultrie Creek Nursing And Rehab Center,Moultrie Creek Nursing And Rehab Center,Saint Augustine,Region 4,St. Johns,29.8091268,-81.325446,_____,_____,_____,_____,_____,_____,_____,_____,_____
North Beach Healthcare And Rehabilitation Center,North Beach Healthcare And Rehabilitation Center,North Miami Beach,Region 11,Miami-Dade,25.7318528,-80.3349318,_____,_____,_____,_____,_____,_____,_____,_____,_____
North Dade Nursing And Rehabilitation Center,North Dade Nursing And Rehabilitation Center,North Miami,Region 11,Miami-Dade,25.9004025,-80.1731714,_____,_____,_____,_____,_____,_____,_____,_____,_____
North Florida Rehabilitation And Specialty Care,North Florida Rehabilitation And Specialty Care,Gainesville,Region 3,Alachua,29.661734,-82.413994,_____,_____,_____,_____,_____,_____,_____,_____,_____
North Lake Care Center And Rehab,North Lake Care Center And Rehab,Lake Park,Region 9,Palm Beach,26.7936814,-80.0683959,_____,_____,_____,_____,_____,_____,_____,_____,_____
North Port Rehabilitation And Nursing Center,North Port Rehabilitation And Nursing Center,North Port,Region 8,Sarasota,27.051594,-82.2406395,_____,_____,_____,_____,_____,_____,_____,_____,_____
Northbrook Center For Rehabilitation And Healing,Northbrook Center For Rehabilitation And Healing,Brooksville,Region 3,Hernando,28.5504736,-82.3936188,_____,_____,_____,_____,_____,_____,_____,_____,_____
Northdale Rehabilitation Center,Northdale Rehabilitation Center,Tampa,Region 6,Hillsborough,28.0852359,-82.4949484,_____,_____,_____,_____,_____,_____,_____,_____,_____
Nspire Healthcare Kendall,Nspire Healthcare Kendall,Miami,Region 11,Miami-Dade,25.6791526,-80.4178201,_____,_____,_____,_____,_____,_____,_____,_____,_____
Nspire Healthcare Lauderhill,Nspire Healthcare Lauderhill,Lauderhill,Region 10,Broward,26.1595166,-80.2235829,_____,_____,_____,_____,_____,_____,_____,_____,_____
Nspire Healthcare Tamarac,Nspire Healthcare Tamarac,Tamarac,Region 10,Broward,26.197091,-80.257046,_____,_____,_____,_____,_____,_____,_____,_____,_____
Nursing & Rehabilitation Center Of Bayonet Point,Nursing & Rehabilitation Center Of Bayonet Point,Hudson,Region 5,Pasco,28.3619938,-82.6875863,_____,_____,_____,_____,_____,_____,_____,_____,_____
Nursing Center At La Posada,Nursing Center At La Posada,Palm Beach Gardens,Region 9,Palm Beach,26.8522281,-80.085463,_____,_____,_____,_____,_____,_____,_____,_____,_____
Oak Hammock At The University Of Florida Inc,Oak Hammock At The University Of Florida Inc,Gainesville,Region 3,Alachua,29.6054187,-82.3602764,_____,_____,_____,_____,_____,_____,_____,_____,_____
Oak Manor Healthcare & Rehabilitation Center,Oak Manor Healthcare & Rehabilitation Center,Largo,Region 5,Pinellas,27.8954888,-82.8239257,_____,_____,_____,_____,_____,_____,_____,_____,_____
Oaks At Avon,Oaks At Avon,Avon Park,Region 6,Highlands,27.6071889,-81.513448,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ocala Health And Rehabilitation Center,Ocala Health And Rehabilitation Center,Ocala,Region 3,Marion,29.16491,-82.1230176,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ocala Oaks Rehabilitation Center,Ocala Oaks Rehabilitation Center,Ocala,Region 3,Marion,29.2004276,-82.0805037,_____,_____,_____,_____,_____,_____,_____,_____,_____
Okeechobee Health Care Facility,Okeechobee Health Care Facility,Okeechobee,Region 9,Okeechobee,27.2586757,-80.8281579,_____,_____,_____,_____,_____,_____,_____,_____,_____
Olive Branch Health And Rehabilitation Center,Olive Branch Health And Rehabilitation Center,Pensacola,Region 1,Escambia,30.5147227,-87.221793,_____,_____,_____,_____,_____,_____,_____,_____,_____
Orange City Nursing And Rehab Center,Orange City Nursing And Rehab Center,Debary,Region 4,Volusia,28.9025261,-81.2895087,_____,_____,_____,_____,_____,_____,_____,_____,_____
Orange Park Rehabilitation And Nursing Center,Orange Park Rehabilitation And Nursing Center,Orange Park,Region 4,Clay,30.1671774,-81.7395871,_____,_____,_____,_____,_____,_____,_____,_____,_____
Orlando Health And Rehabilitation Center,Orlando Health And Rehabilitation Center,Orlando,Region 7,Orange,28.5112231,-81.3917132,_____,_____,_____,_____,_____,_____,_____,_____,_____
Orlando Health Center For Rehabilitation,Orlando Health Center For Rehabilitation,Ocoee,Region 7,Orange,28.5487242,-81.5228598,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ormond Rehabilitation And Nursing Center,Ormond Rehabilitation And Nursing Center,Ormond Beach,Region 4,Volusia,29.2704075,-81.0930225,_____,_____,_____,_____,_____,_____,_____,_____,_____
Osprey Point Nursing Center,Osprey Point Nursing Center,Bushnell,Region 3,Sumter,28.680447,-82.11162,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palatka Center For Rehabilitation And Healing,Palatka Center For Rehabilitation And Healing,Palatka,Region 3,Putnam,29.6489478,-81.6931477,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Beach Nursing Center,Palm Beach Nursing Center,Lake Worth,Region 9,Palm Beach,26.583546,-80.0905862,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm City Nursing And Rehab Center,Palm City Nursing And Rehab Center,Palm City,Region 9,Martin,27.1621969,-80.2874922,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Aventura,Palm Garden Of Aventura,North Miami Beach,Region 11,Miami-Dade,25.9721372,-80.1470354,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Clearwater,Palm Garden Of Clearwater,Clearwater,Region 5,Pinellas,28.048064,-82.710544,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Gainesville,Palm Garden Of Gainesville,Gainesville,Region 3,Alachua,29.6507393,-82.4065559,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Jacksonville,Palm Garden Of Jacksonville,Jacksonville,Region 4,Duval,30.2669442,-81.6082755,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Largo,Palm Garden Of Largo,Largo,Region 5,Pinellas,27.866944,-82.7629095,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Ocala,Palm Garden Of Ocala,Ocala,Region 3,Marion,29.152368,-82.169711,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Orlando,Palm Garden Of Orlando,Orlando,Region 7,Orange,28.5531147,-81.2531058,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Pinellas,Palm Garden Of Pinellas,Largo,Region 5,Pinellas,27.9027719,-82.7855077,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Port St. Lucie,Palm Garden Of Port St. Lucie,Port Saint Lucie,Region 9,St. Lucie,27.2858901,-80.2936014,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Sun City,Palm Garden Of Sun City,Sun City Center,Region 6,Hillsborough,27.7175393,-82.3708106,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Vero Beach,Palm Garden Of Vero Beach,Vero Beach,Region 9,Indian River,27.6596713,-80.4021728,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of West Palm Beach,Palm Garden Of West Palm Beach,West Palm Beach,Region 9,Palm Beach,26.7143654,-80.0791795,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Garden Of Winter Haven,Palm Garden Of Winter Haven,Winter Haven,Region 6,Polk,28.0048691,-81.7097956,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palm Vista Nursing And Rehabilitation Center,Palm Vista Nursing And Rehabilitation Center,Key West,Region 8,Monroe,24.5807615,-81.7438471,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palmetto Care Center,Palmetto Care Center,Hialeah,Region 11,Miami-Dade,25.8836357,-80.3289268,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palmetto Subacute Care Center,Palmetto Subacute Care Center,Miami,Region 11,Miami-Dade,25.7620701,-80.318658,_____,_____,_____,_____,_____,_____,_____,_____,_____
Palms Care Center,Palms Care Center,Lauderdale Lakes,Region 10,Broward,26.1677572,-80.2119128,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Palms Rehabilitation And Healthcare Center, The",Palms Rehabilitation And Healthcare Center,Palm Bay,Region 7,Brevard,28.0149,-80.62168,_____,_____,_____,_____,_____,_____,_____,_____,_____
Park Meadows Healthcare & Rehabilitation Center,Park Meadows Healthcare & Rehabilitation Center,Gainesville,Region 3,Alachua,29.6164615,-82.3703046,_____,_____,_____,_____,_____,_____,_____,_____,_____
Park Ridge Nursing Center,Park Ridge Nursing Center,Jacksonville,Region 4,Duval,30.3183862,-81.6819901,_____,_____,_____,_____,_____,_____,_____,_____,_____
Parklands Care Center,Parklands Care Center,Gainesville,Region 3,Alachua,29.637104,-82.336051,_____,_____,_____,_____,_____,_____,_____,_____,_____
Parks Healthcare And Rehabilitation Center,Parks Healthcare And Rehabilitation Center,Orlando,Region 7,Orange,28.426018,-81.4025,_____,_____,_____,_____,_____,_____,_____,_____,_____
Parkside Health And Rehabilitation Center,Parkside Health And Rehabilitation Center,Deland,Region 4,Volusia,29.0221338,-81.2984618,_____,_____,_____,_____,_____,_____,_____,_____,_____
Parkview Rehabilitation Center At Winter Park,Parkview Rehabilitation Center At Winter Park,Winter Park,Region 7,Orange,28.5968069,-81.3245267,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Pavilion For Health Care, The",Pavilion For Health Care,Penney Farms,Region 4,Clay,29.9765033,-81.8080673,_____,_____,_____,_____,_____,_____,_____,_____,_____
Peninsula Rehabilitation And Nursing Center,Peninsula Rehabilitation And Nursing Center,Tarpon Springs,Region 5,Pinellas,28.1660671,-82.7429544,_____,_____,_____,_____,_____,_____,_____,_____,_____
Perry Oaks Health Care,Perry Oaks Health Care,Perry,Region 2,Taylor,30.125755,-83.58967,_____,_____,_____,_____,_____,_____,_____,_____,_____
Pinecrest Rehabilitation Center,Pinecrest Rehabilitation Center,North Miami,Region 11,Miami-Dade,25.900539,-80.192733,_____,_____,_____,_____,_____,_____,_____,_____,_____
Pinellas Point Nursing And Rehab Center,Pinellas Point Nursing And Rehab Center,Saint Petersburg,Region 5,Pinellas,27.7170735,-82.6761401,_____,_____,_____,_____,_____,_____,_____,_____,_____
Pines Nursing Home,Pines Nursing Home,Miami,Region 11,Miami-Dade,25.9050082,-80.1918302,_____,_____,_____,_____,_____,_____,_____,_____,_____
Pines Of Sarasota,Pines Of Sarasota,Sarasota,Region 8,Sarasota,27.3503978,-82.5392861,_____,_____,_____,_____,_____,_____,_____,_____,_____
Plantation Bay Rehabilitation Center,Plantation Bay Rehabilitation Center,Saint Cloud,Region 7,Osceola,28.253927,-81.31378,_____,_____,_____,_____,_____,_____,_____,_____,_____
Plaza Health And Rehab,Plaza Health And Rehab,Gainesville,Region 3,Alachua,29.6141107,-82.3953115,_____,_____,_____,_____,_____,_____,_____,_____,_____
Plaza West Health Center,Plaza West Health Center,Sun City Ctr,Region 6,Hillsborough,27.7205905,-82.3673629,_____,_____,_____,_____,_____,_____,_____,_____,_____
Plymouth Harbor Incorporated,Plymouth Harbor Incorporated,Sarasota,Region 8,Sarasota,27.3207697,-82.5704834,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ponce Health And Rehabilitation Center,Ponce Health And Rehabilitation Center,Miami,Region 11,Miami-Dade,25.7698891,-80.2143104,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Ponce Therapy Care Center And Rehab, The",Ponce Therapy Care Center And Rehab,Saint Augustine,Region 4,St. Johns,29.8644952,-81.3280336,_____,_____,_____,_____,_____,_____,_____,_____,_____
Port Charlotte Rehabilitation Center,Port Charlotte Rehabilitation Center,Port Charlotte,Region 8,Charlotte,27.0001731,-82.0303407,_____,_____,_____,_____,_____,_____,_____,_____,_____
Port Orange Nursing And Rehab Center,Port Orange Nursing And Rehab Center,Port Orange,Region 4,Volusia,29.118266,-81.0175724,_____,_____,_____,_____,_____,_____,_____,_____,_____
Port St. Lucie Rehabilitation And Healthcare,Port St. Lucie Rehabilitation And Healthcare,Port St Lucie,Region 9,St. Lucie,27.3423015,-80.3292388,_____,_____,_____,_____,_____,_____,_____,_____,_____
Premier Place At The Glenview,Premier Place At The Glenview,Naples,Region 8,Collier,26.2164802,-81.8104553,_____,_____,_____,_____,_____,_____,_____,_____,_____
Promedica Skilled Nursing And Rehabilitation (Boca Raton North),Promedica Skilled Nursing And Rehabilitation (Boca Raton North),Boca Raton,Region 9,Palm Beach,26.4088373,-80.1259923,_____,_____,_____,_____,_____,_____,_____,_____,_____
Promedica Skilled Nursing And Rehabilitation (Boynton Beach Nort,Promedica Skilled Nursing And Rehabilitation (Boynton Beach Nort,Boynton Beach,Region 9,Palm Beach,26.5332237,-80.1056415,_____,_____,_____,_____,_____,_____,_____,_____,_____
Promedica Skilled Nursing And Rehabilitation (Delray),Promedica Skilled Nursing And Rehabilitation (Delray),Delray Beach,Region 9,Palm Beach,26.4661338,-80.0703428,_____,_____,_____,_____,_____,_____,_____,_____,_____
Promedica Skilled Nursing And Rehabilitation (Ft. Myers East),Promedica Skilled Nursing And Rehabilitation (Ft. Myers East),Fort Myers,Region 8,Lee,26.6598263,-81.8338588,_____,_____,_____,_____,_____,_____,_____,_____,_____
Promedica Skilled Nursing And Rehabilitation (Sarasota East),Promedica Skilled Nursing And Rehabilitation (Sarasota East),Sarasota,Region 8,Sarasota,27.2748203,-82.4863586,_____,_____,_____,_____,_____,_____,_____,_____,_____
Promedica Skilled Nursing And Rehabilitation (Sarasota West),Promedica Skilled Nursing And Rehabilitation (Sarasota West),Sarasota,Region 8,Sarasota,27.2748203,-82.4863586,_____,_____,_____,_____,_____,_____,_____,_____,_____
Promedica Skilled Nursing And Rehabilitation Boynton Beach South,Promedica Skilled Nursing And Rehabilitation Boynton Beach South,Boynton Beach,Region 9,Palm Beach,26.5332237,-80.1056415,_____,_____,_____,_____,_____,_____,_____,_____,_____
Pruitthealth - Fleming Island,Pruitthealth - Fleming Island,Fleming Island,Region 4,Clay,30.0856547,-81.7183361,_____,_____,_____,_____,_____,_____,_____,_____,_____
Pruitthealth - Panama City,Pruitthealth - Panama City,Panama City,Region 2,Bay,30.2062721,-85.6604461,_____,_____,_____,_____,_____,_____,_____,_____,_____
Pruitthealth - Santa Rosa,Pruitthealth - Santa Rosa,Milton,Region 1,Santa Rosa,30.636028,-87.064573,_____,_____,_____,_____,_____,_____,_____,_____,_____
Pruitthealth - Southwood,Pruitthealth - Southwood,Tallahassee,Region 2,Leon,30.4136505,-84.2299274,_____,_____,_____,_____,_____,_____,_____,_____,_____
Radiant Nursing And Rehab At Palatka,Radiant Nursing And Rehab At Palatka,Palatka,Region 3,Putnam,29.6445043,-81.6609639,_____,_____,_____,_____,_____,_____,_____,_____,_____
Raydiant Health Care Of North Fort Myers,Raydiant Health Care Of North Fort Myers,North Fort Myers,Region 8,Lee,26.666992,-81.92082,_____,_____,_____,_____,_____,_____,_____,_____,_____
Regency Oaks Health Center,Regency Oaks Health Center,Clearwater,Region 5,Pinellas,27.9944138,-82.7241208,_____,_____,_____,_____,_____,_____,_____,_____,_____
Regents Park At Aventura,Regents Park At Aventura,Aventura,Region 11,Miami-Dade,25.9505693,-80.1502131,_____,_____,_____,_____,_____,_____,_____,_____,_____
Regents Park Of Sunrise,Regents Park Of Sunrise,Sunrise,Region 10,Broward,26.1707763,-80.2806777,_____,_____,_____,_____,_____,_____,_____,_____,_____
Regents Park Of Winter Park,Regents Park Of Winter Park,Winter Park,Region 7,Orange,28.6095161,-81.3106384,_____,_____,_____,_____,_____,_____,_____,_____,_____
Rehab & Healthcare Center Of Cape Coral,Rehab & Healthcare Center Of Cape Coral,Cape Coral,Region 8,Lee,26.6027455,-81.9406261,_____,_____,_____,_____,_____,_____,_____,_____,_____
Rehabilitation Center At Park Place,Rehabilitation Center At Park Place,Pensacola,Region 1,Escambia,30.4307599,-87.239291,_____,_____,_____,_____,_____,_____,_____,_____,_____
Renaissance At The Terraces,Renaissance At The Terraces,Bonita Springs,Region 8,Lee,26.3547862,-81.8060407,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ridgecrest Healthcare And Rehabilitation Center,Ridgecrest Healthcare And Rehabilitation Center,Deland,Region 4,Volusia,29.0493432,-81.3176238,_____,_____,_____,_____,_____,_____,_____,_____,_____
River City Nursing And Rehab Center,River City Nursing And Rehab Center,Jacksonville,Region 4,Duval,30.4900872,-81.6334649,_____,_____,_____,_____,_____,_____,_____,_____,_____
River Garden Hebrew Home For The Aged,River Garden Hebrew Home For The Aged,Jacksonville,Region 4,Duval,30.1663954,-81.5987808,_____,_____,_____,_____,_____,_____,_____,_____,_____
River Valley Rehabilitation Center,River Valley Rehabilitation Center,Blountstown,Region 2,Calhoun,30.4587144,-85.0516791,_____,_____,_____,_____,_____,_____,_____,_____,_____
Riverchase Health And Rehabilitation Center,Riverchase Health And Rehabilitation Center,Quincy,Region 2,Gadsden,30.5685653,-84.5544357,_____,_____,_____,_____,_____,_____,_____,_____,_____
Riverside Care Center,Riverside Care Center,Miami,Region 11,Miami-Dade,25.7777742,-80.2091593,_____,_____,_____,_____,_____,_____,_____,_____,_____
Riverwood Center,Riverwood Center,Jacksonville,Region 4,Duval,30.274363,-81.591961,_____,_____,_____,_____,_____,_____,_____,_____,_____
